"Matéria","Questão","Resposta"
"Espanhol",1,"C"
"Espanhol",2,"A"
"Espanhol",3,"C"
"Espanhol",4,"A"
"Espanhol",5,"C"
"Língua Portuguesa",6,"A"
"Língua Portuguesa",7,"D"
"Língua Portuguesa",8,"A"
"Língua Portuguesa",9,"D"
"Língua Portuguesa",10,"A"
"Língua Portuguesa",11,"A"
"Língua Portuguesa",12,"C"
"Língua Portuguesa",13,"B"
"Língua Portuguesa",14,"B"
"Língua Portuguesa",15,"A"
"Língua Portuguesa",16,"D"
"Língua Portuguesa",17,"D"
"Língua Portuguesa",18,"A"
"Língua Portuguesa",19,"B"
"História",20,"E"
"História",21,"B"
"História",22,"E"
"História",23,"D"
"História",24,"A"
"História",25,"B"
"História",26,"E"
"História",27,"E"
"Geografia",28,"E"
"Geografia",29,"D"
"Geografia",30,"D"
"Geografia",31,"D"
"Geografia",32,"A"
"Geografia",33,"D"
"Geografia",34,"A"
"Geografia",35,"A"
"Filosofia",36,"E"
"Filosofia",37,"A"
"Filosofia",38,"B"
"Filosofia",39,"D"
"Filosofia",40,"C"
"Filosofia",41,"E"
"Filosofia",42,"B"
"Filosofia",43,"C"
"Sociologia",44,"E"
"Sociologia",45,"E"
"Sociologia",46,"A"
"Sociologia",47,"A"
"Sociologia",48,"D"
"Sociologia",49,"E"
"Sociologia",50,"A"
"Sociologia",51,"D"
"Sociologia",52,"D"
"Sociologia",53,"C"
"Sociologia",54,"E"
"Sociologia",55,"B"
"Sociologia",56,"B"
"Sociologia",57,"D"
"Sociologia",58,"C"
"Sociologia",59,"C"
"Física",60,"D"
"Física",61,"B"
"Física",62,"B"
"Física",63,"D"
"Física",64,"A"
"Física",65,"A"
"Física",66,"A"
"Física",67,"C"
"Química",68,"C"
"Química",69,"C"
"Química",70,"B"
"Química",71,"B"
"Química",72,"C"
"Química",73,"A"
"Química",74,"A"
"Química",75,"B"
"Matemática",76,"D"
"Matemática",77,"A"
"Matemática",78,"D"
"Matemática",79,"B"
"Matemática",80,"A"
"Matemática",81,"B"
"Matemática",82,"B"
"Matemática",83,"A"
"Matemática",84,"D"
"Matemática",85,"A"
"Matemática",86,"E"
"Matemática",87,"B"
"Matemática",88,"E"
"Matemática",89,"C"
"Matemática",90,"D"
